term	family	layer	function	attested	gloss	source	same_object_as
Pallavi	Carnatic	section	goal		The opening thematic section of a kṛti (1–2 lines), which is also the piece's refrain: it returns after the anupallavi and after every caraṇam, and is the point every improvisation lands back on.	"Sambamoorthy, A Dictionary of South Indian Music and Musicians, s.v. ""pallavi""; Pesch, The Illustrated Companion to South Indian Classical Music (OUP), glossary; New Grove 2nd ed., ""India, subcontinen"	= Hindustani Sthāyī (see §Pallavi/Sthāyī). Same object as the Gītagovinda dhruva, staged in this repo as [BURDEN] (173 blocks). Repo function-object: chorus/burden.
Ragamalika charanam	Carnatic	section	medial		"A caraṇam set in a rāga other than the piece's, so that successive caraṇams form a ""garland of rāgas""."	"Sambamoorthy, Dictionary, s.v. ""rāgamālikā""; Pesch, glossary; Garland vol. 5"	SAME OBJECT AS Charanam. The span is a caraṇam; the modifier is a rāga assignment, which is a TUNE coordinate, not a section one — the repo already carries it there (--- TITLE: … [raga: NOT IN SOURCE]
Samashti charanam	Carnatic	section	medial		"""Combined caraṇam"": in a kṛti with no separate anupallavi, the single section that does both jobs — rises to the upper register and then carries the signature text."	"Sambamoorthy, Dictionary, s.v. ""samaṣṭi caraṇam""; Pesch, glossary; standard tradition terminology in printed kṛti editions"	"= Charanam + Anupallavi fused, i.e. the same object as Charanam under a stated absence. It is really a FORM claim (""this kṛti is two-part"") wearing a section name — see list (b). Nearest cross-traditi"
Jiuhua	Chinese/Korean	?	—	no	"cannot identify with confidence — possibly a 花八板 ""flowered"" derivative, possibly 九華; I will not guess"	UNCITED	—
Qiangban 搶板	Chinese/Korean	?	—	no	claimed sense is entry ahead of the 板; not a member of the standard banshi list I can vouch for	UNCITED	—
Baban structure 八板	Chinese/Korean	form	—	no	the 68-beat, 8-phrase archetypal melodic framework (老八板) a whole repertory varies; phrase 5 carries the extra 4 beats	"Grove Music Online / Garland vol. 7, China §, instrumental form; Alan Thrasher, ""The Melodic Structure of Jiangnan Sizhu"", Ethnomusicology 29 (1985) — from knowledge, not opened"	near 詞牌/曲牌 — a fixed pre-existing pattern — but not the same: 八板 is an anonymous framework with no title and no text, 曲牌/詞牌 are named titles that govern a text
Dodeuri 도드리	Chinese/Korean	form	—	no	"literally ""go back and repeat"": a return principle over sections; also names a 6/4 jangdan and the pieces 밑도드리 / 웃도드리"	Garland vol. 7, Korea §, 영산회상; encykorea 도드리 — from knowledge	the repo has no return-form object; nearest is FormConvention.reprises, which is a pair-check not a form
Qupai 曲牌	Chinese/Korean	form	—	no — 0 files, 0 lines	a named pre-existing tune a text is written to fill; the 曲-layer twin of 詞牌	"中原音韻 (1324) as the 曲 rhyme spec; quality/RHYME_CANON.md D8 names 詞牌/曲牌 together; quality/CORPUS_INVENTORY.md:220 records a located-but-unstaged 元曲 source (""Qu carry 曲牌 tune-titles in principle but I d"	詞牌 — same object one repertory over; zamīn
詞牌 cípái	Chinese/Korean	form	—	YES — FIELD, 10,529/10,529 (100%) as --- TITLE: 浣溪沙 [air: 浣溪沙], and 10,029 as --- GE: 欽定詞譜 浣溪沙 42字. The word 詞牌 itself: HEADER only, 133 lines / 67 files	the named pre-existing tune-pattern a lyric is written to fill; fixes line count, character count, 平仄 template and which line-ends must rhyme	欽定詞譜 (1715), in-repo as data/qindingcipu_ge.tsv, 2,286 格 / 816 tune names (primary, three centuries out of term); 歐陽炯's 940 preface to 花間集, quoted in corpus/song/ltc_huajianji.txt, calls the contents 	"zamīn (Persian) — quality/RHYME_CANON.md D8 already files 詞牌/曲牌 with zamīn and ayak as ""form-level declarations (a tuple, not a relation)"". NOT a Welsh/Scottish air — see §4"
Ballim 발림	Chinese/Korean	perform	—	no	the singer's gesture and stage movement (also 너름새). No text, no span	encykorea 발림 / 너름새 — from knowledge	—
Gutgeori 굿거리	Chinese/Korean	perform	—	no	a 12/8 janggu cycle; a rhythmic pattern, not a span of a piece	encykorea 굿거리장단 — from knowledge	—
換頭 huàntóu	Chinese/Korean	phrase	— (phrase takes none)	HEADER ONLY — 66 lines, one per siku file, byte-identical boilerplate. 0 MARK, 0 FIELD, 0 BODY. Zero occurrences in any primary text in this repo	the metrically altered opening lines of the second 片. Its complement is 重頭 (second 片 head identical to the first)	欽定詞譜 (1715) uses 換頭 in its per-格 prose commentary — that commentary is NOT in the in-repo extract (qindingcipu_ge.tsv has 7 columns: tune, aliases, chars, groups, ju, du, template; none is prose or 片)	過片 — 換頭 is the proper subset of 過片 where the metre changes. NOT bridge — see §3
過片 guòpiàn	Chinese/Korean	phrase	—	NO — 0 files, 0 lines. Also 0 for 過變, 上片, 下片	the crossing into the second 片: the opening of the 下片 and the art of making it 承上接下	張炎《詞源·製曲》 c.1300: 「最是過片不要斷了曲意，須要承上接下。」 (primary)	換頭 (its metre-changing subset); and this is the object the repo's 66 headers are actually naming when they write 換頭
Aniri 아니리	Chinese/Korean	section	medial	no	spoken narration between sung passages; carries plot and rests the voice	Garland vol. 7, Korea §, p'ansori; encykorea 판소리 — from knowledge	"MARK_REFUSED[""PATTER""] — see (c). Complement of Chang"
Chang 창 (唱)	Chinese/Korean	section	medial	no	the sung passages, alternating with aniri	as Aniri	Aniri
Daoban 導板	Chinese/Korean	section	front_framing	no	free-rhythm opening line, usually sung offstage or on entrance, launching the metred aria	as Sanban	— · FLAG: canonically ONE LINE, i.e. phrase-scale; see (b)
Guomen 過門	Chinese/Korean	section	connective	no	instrumental link between sung lines and couplets (小過門) and before an aria (大過門)	as above	"repo interlude (""instrumental or spoken span between sung sections"") and turnaround (""carries the end of one section into the next"")"
Hwimori 휘모리	Chinese/Korean	section	goal	no	fastest movement; the accelerando's arrival and the piece's close	as above	repo drop; Kuaiban (the same object in a different tradition: the terminal fast span of a tempo arc)
Jajinmori 자진모리	Chinese/Korean	section	medial	no	fast 12/8 movement	as above	—
Jinghu prelude	Chinese/Korean	section	instrumental	no (0 files)	the jinghu's introductory instrumental before the singer enters — i.e. the 大過門	Garland vol. 7, China §, Beijing-opera accompaniment — from knowledge	Guomen — it is the opening 過門, not a second object
Jinyangjo 진양조	Chinese/Korean	section	initiating	no	slowest movement, 18/8 (6 × 3/4); establishes the 조	Garland vol. 7, Korea §, sanjo; encykorea.aks.ac.kr 산조 (the Korean authority canon_index.tsv already cites for X50–X63) — from knowledge	—
Jungjungmori 중중모리	Chinese/Korean	section	medial	no	faster 12/8 movement	as above	—
Jungmori 중모리	Chinese/Korean	section	medial	no	moderate 12/4 movement	as above	—
Kuaiban 快板	Chinese/Korean	section	goal	no	有板無眼, fast; the accelerando's arrival	as Sanban	"repo drop (""the arrival a build points at"")"
Liushui 流水板	Chinese/Korean	section	medial	no	"有板無眼 ""flowing water""; faster than 原板, propulsive narration"	as Sanban	—
Manban 慢板	Chinese/Korean	section	medial	no	一板三眼 (4/4); the slow, expansive, interior span	as Sanban	—
Sanban 散板	Chinese/Korean	section	rear_framing	no (0 files)	無板無眼, wholly free rhythm; characteristically the aria's climactic close, also used to open	Garland vol. 7 East Asia: China, Japan, and Korea (Provine/Tokumaru/Witzleben eds., 2002), China §, Beijing-opera banshi list; Grove Music Online s.v. Beijing opera — cited from knowledge; neither vol	Yaoban (Sanban is Yaoban's vocal half)
Taryeong 타령	Chinese/Korean	section	medial	no	"12/8 jangdan, and the suite movement named from it; also a generic word for ""song/ballad"" (아리랑 타령)"	as Dodeuri	—
Tou 頭	Chinese/Korean	section	front_framing	no	head-section; in suites, 合頭 is a passage shared at the head of successive tunes	Garland vol. 7, China §, instrumental form — from knowledge	Wei
Wei 尾	Chinese/Korean	section	rear_framing	no	tail-section; 合尾 is an identical cadential passage closing every tune in a suite	as Tou	"repo tag (""a short repeated fragment closing a section or the song""); and 合尾 is relations.py's epistrophe/radif family raised to section scale"
Yaoban 搖板	Chinese/Korean	section	medial	no	緊拉慢唱 — metred accompaniment under a free voice; a span defined by a mismatch between two layers, not by one metre	as Sanban	Sanban (the voice's half)
Yeombul 염불	Chinese/Korean	section	initiating	no	Buddhist-chant-derived opening movement of the taryeong suite	as Dodeuri	—
Yuanban 原板	Chinese/Korean	section	medial	no	一板一眼 (2/4); the baseline metre the others are derived from	as Sanban	—
片 piàn	Chinese/Korean	section	medial	YES — HEADER 134 lines / 67 files as the declared referent of [VERSE n]; the object itself is 19,552 staged blocks. (The 88 FIELD + 384 BODY hits are false positives, above)	the stanza the tune divides the lyric into: 雙調 two, 單調 one, 三疊/四疊 three or four. Not a printer's paragraph	"the 1782 文淵閣四庫全書 woodblock's own full-width space (build_ci_corpus.py FW = ""　"", tokenize()); ltc_huajianji.txt and 66 siku file headers"	"the repo's [VERSE] mark / SECTION_FUNCTIONS[""verse""] — and the fit is good, measured; see (c)"
Antara-sam	Hindustani	device	—	0 files	"Reads as ""the sam the antara lands on"", but I could not establish it as a term."	UNCITED	Cannot answer honestly. I found no standard Hindustani term antara-sam in Grove, Garland 5, Clayton 2000 or Wade 1984. The established vocabulary for sam-relative placement is graha (sama-graha on the
Bol-baant	Hindustani	device	—	0 files	"""Word-division"": redistributing the composition's unchanged syllables to new rhythmic placements across the tāla cycle."	Wade 1984; van der Meer 1980; Manuel, Ṭhumrī in Historical and Stylistic Perspectives (1989)	DISTINCT, and it names a channel this repo has no slot for. Every one of the 16 VARIATION_KINDS in quality/grid.py:834 compares words — line identity, token runs, rhyme partition. A return with byte-i
Chakradar	Hindustani	device	—	0 files	"A composed piece whose whole body is played three times, each pass ending on sam; when the body itself ends in a tihai the result is nine landings (""chakradar tihai"")."	Gottlieb 1993; Kippen 1988	A tihai applied one level up — the same rule recursed over a whole composition rather than a phrase. Otherwise DISTINCT: no Western or Perso-Arabic term in this repo names a nested threefold cadence.
Layakari	Hindustani	device	—	0 files	Rhythmic play: performing melodic material at a declared ratio to the basic pulse (2:1, 3:2, 4:3…) against an unchanging tāla.	Clayton, Time in Indian Music (2000) — the standard treatment; van der Meer 1980; Garland 5	"Carnatic gati / naḍai — same object. Within the repo the mechanism is already modelled at the meter layer: quality/meter.py declares Polyrhythm (""n against m INSIDE one span, sharing a barline"") and D"
Sam	Hindustani	device	—	0 files	The first beat of the tāla cycle: the point of maximum emphasis and the target every cadence is timed to reach. A position in a cycle, not a span.	"Grove, ""Tāla""; Clayton 2000; Garland 5"	"ALREADY IN THIS REPO. quality/meter.py:149 declares sam: object = None  # emphatic return (Hindustani), and lines 43–44 gloss it: ""Hindustani tāl marks sam (the emphatic return) and khali (the empty)."
Tihai	Hindustani	device	—	0 files	A phrase stated exactly three times, spaced so the final stroke lands on sam. Any material can be made into one; the object named is the rule, not the material.	Clayton 2000; Gottlieb 1993; Kippen 1988	Carnatic mora / muktāyi — same object (threefold cadential repetition timed to land on the cycle's arrival point). Nothing in this repo names it: VARIATION_KINDS measures what returns, never how many 
